Identifier	gene_name	GENE_NAME	type	biotypes	description	gc	Cluster
ENSMUSG00000042474	Fcmr	FCMR	protein_coding	protein_coding	Fc_fragment_of_IgM_receptor_[Source:MGI_Symbol;Acc:MGI:1916419]	0.5433	yellow
ENSMUSG00000028786	Tmem54	TMEM54	protein_coding	protein_coding	transmembrane_protein_54_[Source:MGI_Symbol;Acc:MGI:1913510]	0.5698	yellow
ENSMUSG00000022223	Sdr39u1	SDR39U1	protein_coding	protein_coding	"short_chain_dehydrogenase/reductase_family_39U,_member_1_[Source:MGI_Symbol;Acc:MGI:1916876]"	0.5551	yellow
ENSMUSG00000030125	Lrrc23	LRRC23	protein_coding	protein_coding	leucine_rich_repeat_containing_23_[Source:MGI_Symbol;Acc:MGI:1315192]	0.5222	yellow
ENSMUSG00000030519	Apba2	APBA2	protein_coding	protein_coding	"amyloid_beta_(A4)_precursor_protein-binding,_family_A,_member_2_[Source:MGI_Symbol;Acc:MGI:1261791]"	0.575	yellow
ENSMUSG00000021592	Arsk	ARSK	protein_coding	protein_coding	arylsulfatase_K_[Source:MGI_Symbol;Acc:MGI:1924291]	0.431	orange
ENSMUSG00000047606	Ankrd34c	ANKRD34C	protein_coding	protein_coding	ankyrin_repeat_domain_34C_[Source:MGI_Symbol;Acc:MGI:2685617]	0.4478	yellow
ENSMUSG00000000901	Mmp11	MMP11	protein_coding	protein_coding	matrix_metallopeptidase_11_[Source:MGI_Symbol;Acc:MGI:97008]	0.553	yellow
ENSMUSG00000093701	Gm21970	GM21970	protein_coding	protein_coding	predicted_gene_21970_[Source:MGI_Symbol;Acc:MGI:5439439]	0.4612	orange
ENSMUSG00000029445	Hpd	HPD	protein_coding	protein_coding	4-hydroxyphenylpyruvic_acid_dioxygenase_[Source:MGI_Symbol;Acc:MGI:96213]	0.5452	yellow
ENSMUSG00000022014	Epsti1	EPSTI1	protein_coding	protein_coding	epithelial_stromal_interaction_1_(breast)_[Source:MGI_Symbol;Acc:MGI:1915168]	0.4898	orange
ENSMUSG00000063015	Ccni	CCNI	protein_coding	protein_coding	cyclin_I_[Source:MGI_Symbol;Acc:MGI:1341077]	0.4714	orange
ENSMUSG00000038970	Lmtk2	LMTK2	protein_coding	protein_coding	lemur_tyrosine_kinase_2_[Source:MGI_Symbol;Acc:MGI:3036247]	0.5192	red
ENSMUSG00000021701	Plk2	PLK2	protein_coding	protein_coding	polo_like_kinase_2_[Source:MGI_Symbol;Acc:MGI:1099790]	0.4863	red
ENSMUSG00000024737	Slc15a3	SLC15A3	protein_coding	protein_coding	"solute_carrier_family_15,_member_3_[Source:MGI_Symbol;Acc:MGI:1929691]"	0.5688	orange
ENSMUSG00000073052	D130052B06Rik	D130052B06RIK	protein_coding	protein_coding	RIKEN_cDNA_D130052B06_gene_[Source:MGI_Symbol;Acc:MGI:2685092]	0.4697	cyan
ENSMUSG00000021939	Ctsb	CTSB	protein_coding	protein_coding	cathepsin_B_[Source:MGI_Symbol;Acc:MGI:88561]	0.529	orange
ENSMUSG00000002012	Pnck	PNCK	protein_coding	protein_coding	pregnancy_upregulated_non-ubiquitously_expressed_CaM_kinase_[Source:MGI_Symbol;Acc:MGI:1347357]	0.5611	yellow
ENSMUSG00000032363	Adamts7	ADAMTS7	protein_coding	protein_coding	"a_disintegrin-like_and_metallopeptidase_(reprolysin_type)_with_thrombospondin_type_1_motif,_7_[Source:MGI_Symbol;Acc:MGI:1347346]"	0.5742	green
ENSMUSG00000020904	Cfap52	CFAP52	protein_coding	protein_coding	cilia_and_flagella_associated_protein_52_[Source:MGI_Symbol;Acc:MGI:1919110]	0.4832	yellow
ENSMUSG00000032718	Mansc1	MANSC1	protein_coding	protein_coding	MANSC_domain_containing_1_[Source:MGI_Symbol;Acc:MGI:1914979]	0.4861	yellow
ENSMUSG00000025144	Cenpx	CENPX	protein_coding	protein_coding	centromere_protein_X_[Source:MGI_Symbol;Acc:MGI:894324]	0.5522	orange
ENSMUSG00000102252	Snrpn	SNRPN	protein_coding	protein_coding	small_nuclear_ribonucleoprotein_N_[Source:MGI_Symbol;Acc:MGI:98347]	0.4512	yellow
ENSMUSG00000061232	H2-K1	H2-K1	protein_coding	protein_coding	"histocompatibility_2,_K1,_K_region_[Source:MGI_Symbol;Acc:MGI:95904]"	0.5531	orange
ENSMUSG00000032243	Itga11	ITGA11	protein_coding	protein_coding	integrin_alpha_11_[Source:MGI_Symbol;Acc:MGI:2442114]	0.5568	green
ENSMUSG00000043873	Chil5	CHIL5	protein_coding	protein_coding	chitinase-like_5_[Source:MGI_Symbol;Acc:MGI:2676649]	0.4745	green
ENSMUSG00000042594	Sh2b3	SH2B3	protein_coding	protein_coding	SH2B_adaptor_protein_3_[Source:MGI_Symbol;Acc:MGI:893598]	0.6348	orange
ENSMUSG00000108102	Gm44437	GM44437	protein_coding	TEC	"predicted_gene,_44437_[Source:MGI_Symbol;Acc:MGI:5690829]"	0.425	yellow
ENSMUSG00000020262	Adarb1	ADARB1	protein_coding	protein_coding	"adenosine_deaminase,_RNA-specific,_B1_[Source:MGI_Symbol;Acc:MGI:891999]"	0.5054	green
ENSMUSG00000031323	Dmrtc1a	DMRTC1A	protein_coding	protein_coding	DMRT-like_family_C1a_[Source:MGI_Symbol;Acc:MGI:1918137]	0.4783	yellow
ENSMUSG00000090919	Pabpc4l	PABPC4L	protein_coding	protein_coding	"poly(A)_binding_protein,_cytoplasmic_4-like_[Source:MGI_Symbol;Acc:MGI:3643087]"	0.4496	yellow
ENSMUSG00000073424	Cyp4f15	CYP4F15	protein_coding	protein_coding	"cytochrome_P450,_family_4,_subfamily_f,_polypeptide_15_[Source:MGI_Symbol;Acc:MGI:2146921]"	0.5104	cyan
ENSMUSG00000044361	BC024139	BC024139	protein_coding	protein_coding	cDNA_sequence_BC024139_[Source:MGI_Symbol;Acc:MGI:2442591]	0.5685	yellow
ENSMUSG00000046287	Pnma3	PNMA3	protein_coding	protein_coding	paraneoplastic_antigen_MA3_[Source:MGI_Symbol;Acc:MGI:2180565]	0.528	yellow
ENSMUSG00000025508	Rplp2	RPLP2	protein_coding	protein_coding	"ribosomal_protein,_large_P2_[Source:MGI_Symbol;Acc:MGI:1914436]"	0.5259	orange
ENSMUSG00000009681	Bcr	BCR	protein_coding	protein_coding	breakpoint_cluster_region_[Source:MGI_Symbol;Acc:MGI:88141]	0.5294	green
ENSMUSG00000004631	Sgce	SGCE	protein_coding	protein_coding	"sarcoglycan,_epsilon_[Source:MGI_Symbol;Acc:MGI:1329042]"	0.4532	orange
ENSMUSG00000029381	Shroom3	SHROOM3	protein_coding	protein_coding	shroom_family_member_3_[Source:MGI_Symbol;Acc:MGI:1351655]	0.551	green
ENSMUSG00000008683	Rps15a	RPS15A	protein_coding	protein_coding	ribosomal_protein_S15A_[Source:MGI_Symbol;Acc:MGI:2389091]	0.4765	blue
ENSMUSG00000074461	Gm10699	GM10699	protein_coding	TEC	predicted_gene_10699_[Source:MGI_Symbol;Acc:MGI:3642530]	0.4798	yellow
ENSMUSG00000039361	Picalm	PICALM	protein_coding	protein_coding	phosphatidylinositol_binding_clathrin_assembly_protein_[Source:MGI_Symbol;Acc:MGI:2385902]	0.4204	orange
ENSMUSG00000040972	Igsf21	IGSF21	protein_coding	protein_coding	"immunoglobulin_superfamily,_member_21_[Source:MGI_Symbol;Acc:MGI:2681842]"	0.6225	green
ENSMUSG00000042812	Foxf1	FOXF1	protein_coding	protein_coding	forkhead_box_F1_[Source:MGI_Symbol;Acc:MGI:1347470]	0.5441	red
ENSMUSG00000031980	Agt	AGT	protein_coding	protein_coding	"angiotensinogen_(serpin_peptidase_inhibitor,_clade_A,_member_8)_[Source:MGI_Symbol;Acc:MGI:87963]"	0.5627	cyan
ENSMUSG00000027435	Cd93	CD93	protein_coding	protein_coding	CD93_antigen_[Source:MGI_Symbol;Acc:MGI:106664]	0.4731	red
ENSMUSG00000002504	Slc9a3r2	SLC9A3R2	protein_coding	protein_coding	"solute_carrier_family_9_(sodium/hydrogen_exchanger),_member_3_regulator_2_[Source:MGI_Symbol;Acc:MGI:1890662]"	0.5989	red
ENSMUSG00000090084	Srpx	SRPX	protein_coding	protein_coding	sushi-repeat-containing_protein_[Source:MGI_Symbol;Acc:MGI:1858306]	0.4998	yellow
ENSMUSG00000053012	Krcc1	KRCC1	protein_coding	protein_coding	lysine-rich_coiled-coil_1_[Source:MGI_Symbol;Acc:MGI:1889377]	0.4245	orange
ENSMUSG00000026611	Spata17	SPATA17	protein_coding	protein_coding	spermatogenesis_associated_17_[Source:MGI_Symbol;Acc:MGI:1921967]	0.4676	yellow
ENSMUSG00000036912	Piwil4	PIWIL4	protein_coding	protein_coding	piwi-like_RNA-mediated_gene_silencing_4_[Source:MGI_Symbol;Acc:MGI:3041167]	0.4762	yellow
ENSMUSG00000020178	Adora2a	ADORA2A	protein_coding	protein_coding	adenosine_A2a_receptor_[Source:MGI_Symbol;Acc:MGI:99402]	0.6054	red
ENSMUSG00000042988	Notum	NOTUM	protein_coding	protein_coding	notum_pectinacetylesterase_homolog_(Drosophila)_[Source:MGI_Symbol;Acc:MGI:1924833]	0.5903	red
ENSMUSG00000028364	Tnc	TNC	protein_coding	protein_coding	tenascin_C_[Source:MGI_Symbol;Acc:MGI:101922]	0.5311	cyan
ENSMUSG00000020990	Cdkl1	CDKL1	protein_coding	protein_coding	cyclin-dependent_kinase-like_1_(CDC2-related_kinase)_[Source:MGI_Symbol;Acc:MGI:1918341]	0.4946	yellow
ENSMUSG00000096140	Ankrd66	ANKRD66	protein_coding	protein_coding	ankyrin_repeat_domain_66_[Source:MGI_Symbol;Acc:MGI:1925106]	0.4731	yellow
ENSMUSG00000029814	Igf2bp3	IGF2BP3	protein_coding	protein_coding	insulin-like_growth_factor_2_mRNA_binding_protein_3_[Source:MGI_Symbol;Acc:MGI:1890359]	0.4908	orange
ENSMUSG00000045374	Wdr81	WDR81	protein_coding	protein_coding	WD_repeat_domain_81_[Source:MGI_Symbol;Acc:MGI:2681828]	0.59	orange
ENSMUSG00000048347	Pcdhb18	PCDHB18	protein_coding	protein_coding	protocadherin_beta_18_[Source:MGI_Symbol;Acc:MGI:2136756]	0.4176	yellow
ENSMUSG00000022781	Pak2	PAK2	protein_coding	protein_coding	p21_protein_(Cdc42/Rac)-activated_kinase_2_[Source:MGI_Symbol;Acc:MGI:1339984]	0.4184	orange
ENSMUSG00000058254	Tspan7	TSPAN7	protein_coding	protein_coding	tetraspanin_7_[Source:MGI_Symbol;Acc:MGI:1298407]	0.4477	yellow
ENSMUSG00000006342	Susd2	SUSD2	protein_coding	protein_coding	sushi_domain_containing_2_[Source:MGI_Symbol;Acc:MGI:1918983]	0.5646	yellow
ENSMUSG00000034220	Gpc1	GPC1	protein_coding	protein_coding	glypican_1_[Source:MGI_Symbol;Acc:MGI:1194891]	0.5767	green
ENSMUSG00000020950	Foxg1	FOXG1	protein_coding	protein_coding	forkhead_box_G1_[Source:MGI_Symbol;Acc:MGI:1347464]	0.6105	yellow
ENSMUSG00000022091	Sorbs3	SORBS3	protein_coding	protein_coding	sorbin_and_SH3_domain_containing_3_[Source:MGI_Symbol;Acc:MGI:700013]	0.573	green
ENSMUSG00000025283	Sat1	SAT1	protein_coding	protein_coding	spermidine/spermine_N1-acetyl_transferase_1_[Source:MGI_Symbol;Acc:MGI:98233]	0.4501	orange
ENSMUSG00000033470	Cysltr2	CYSLTR2	protein_coding	protein_coding	cysteinyl_leukotriene_receptor_2_[Source:MGI_Symbol;Acc:MGI:1917336]	0.4416	yellow
ENSMUSG00000030471	Zdhhc13	ZDHHC13	protein_coding	protein_coding	"zinc_finger,_DHHC_domain_containing_13_[Source:MGI_Symbol;Acc:MGI:1919227]"	0.4686	orange
ENSMUSG00000023279	Bmp15	BMP15	protein_coding	protein_coding	bone_morphogenetic_protein_15_[Source:MGI_Symbol;Acc:MGI:1316745]	0.4245	green
ENSMUSG00000047730	Fcgbp	FCGBP	protein_coding	protein_coding	Fc_fragment_of_IgG_binding_protein_[Source:MGI_Symbol;Acc:MGI:2444336]	0.5622	yellow
ENSMUSG00000041836	Ptpre	PTPRE	protein_coding	protein_coding	"protein_tyrosine_phosphatase,_receptor_type,_E_[Source:MGI_Symbol;Acc:MGI:97813]"	0.5115	orange
ENSMUSG00000022575	Gsdmd	GSDMD	protein_coding	protein_coding	gasdermin_D_[Source:MGI_Symbol;Acc:MGI:1916396]	0.5462	orange
ENSMUSG00000071604	Fam189a2	FAM189A2	protein_coding	protein_coding	"family_with_sequence_similarity_189,_member_A2_[Source:MGI_Symbol;Acc:MGI:2685813]"	0.5862	red
ENSMUSG00000027297	Ltk	LTK	protein_coding	protein_coding	leukocyte_tyrosine_kinase_[Source:MGI_Symbol;Acc:MGI:96840]	0.5849	yellow
ENSMUSG00000053110	Yap1	YAP1	protein_coding	protein_coding	yes-associated_protein_1_[Source:MGI_Symbol;Acc:MGI:103262]	0.5418	cyan
ENSMUSG00000022619	Mapk8ip2	MAPK8IP2	protein_coding	protein_coding	mitogen-activated_protein_kinase_8_interacting_protein_2_[Source:MGI_Symbol;Acc:MGI:1926555]	0.5617	yellow
ENSMUSG00000020601	Trib2	TRIB2	protein_coding	protein_coding	tribbles_pseudokinase_2_[Source:MGI_Symbol;Acc:MGI:2145021]	0.5551	cyan
ENSMUSG00000002007	Srpk3	SRPK3	protein_coding	protein_coding	serine/arginine-rich_protein_specific_kinase_3_[Source:MGI_Symbol;Acc:MGI:1891338]	0.5492	orange
ENSMUSG00000028402	Mpdz	MPDZ	protein_coding	protein_coding	multiple_PDZ_domain_protein_[Source:MGI_Symbol;Acc:MGI:1343489]	0.4606	cyan
ENSMUSG00000020080	Hkdc1	HKDC1	protein_coding	protein_coding	hexokinase_domain_containing_1_[Source:MGI_Symbol;Acc:MGI:2384910]	0.5414	yellow
ENSMUSG00000066842	Hmcn1	HMCN1	protein_coding	protein_coding	hemicentin_1_[Source:MGI_Symbol;Acc:MGI:2685047]	0.481	cyan
ENSMUSG00000020831	0610010K14Rik	0610010K14RIK	protein_coding	protein_coding	RIKEN_cDNA_0610010K14_gene_[Source:MGI_Symbol;Acc:MGI:1915609]	0.5736	orange
ENSMUSG00000036882	Arhgap33	ARHGAP33	protein_coding	protein_coding	Rho_GTPase_activating_protein_33_[Source:MGI_Symbol;Acc:MGI:2673998]	0.6102	yellow
ENSMUSG00000041287	Sox15	SOX15	protein_coding	protein_coding	SRY_(sex_determining_region_Y)-box_15_[Source:MGI_Symbol;Acc:MGI:98363]	0.5889	blue
ENSMUSG00000064065	Ipcef1	IPCEF1	protein_coding	protein_coding	interaction_protein_for_cytohesin_exchange_factors_1_[Source:MGI_Symbol;Acc:MGI:2444159]	0.4402	green
ENSMUSG00000032965	Ift57	IFT57	protein_coding	protein_coding	intraflagellar_transport_57_[Source:MGI_Symbol;Acc:MGI:1921166]	0.4716	yellow
ENSMUSG00000042846	Lrrtm3	LRRTM3	protein_coding	protein_coding	leucine_rich_repeat_transmembrane_neuronal_3_[Source:MGI_Symbol;Acc:MGI:2389177]	0.4876	yellow
ENSMUSG00000019082	Slc25a22	SLC25A22	protein_coding	protein_coding	"solute_carrier_family_25_(mitochondrial_carrier,_glutamate),_member_22_[Source:MGI_Symbol;Acc:MGI:1915517]"	0.5812	yellow
ENSMUSG00000094338	Hist1h2bl	HIST1H2BL	protein_coding	protein_coding	"histone_cluster_1,_H2bl_[Source:MGI_Symbol;Acc:MGI:2448403]"	0.6325	blue
ENSMUSG00000053192	Mllt11	MLLT11	protein_coding	protein_coding	"myeloid/lymphoid_or_mixed-lineage_leukemia;_translocated_to,_11_[Source:MGI_Symbol;Acc:MGI:1929671]"	0.5366	yellow
ENSMUSG00000026523	Wdr64	WDR64	protein_coding	protein_coding	WD_repeat_domain_64_[Source:MGI_Symbol;Acc:MGI:1923070]	0.4472	yellow
ENSMUSG00000046311	Zfp62	ZFP62	protein_coding	protein_coding	zinc_finger_protein_62_[Source:MGI_Symbol;Acc:MGI:99662]	0.4229	orange
ENSMUSG00000000402	Egfl6	EGFL6	protein_coding	protein_coding	"EGF-like-domain,_multiple_6_[Source:MGI_Symbol;Acc:MGI:1858599]"	0.4626	cyan
ENSMUSG00000027737	Slc7a11	SLC7A11	protein_coding	protein_coding	"solute_carrier_family_7_(cationic_amino_acid_transporter,_y+_system),_member_11_[Source:MGI_Symbol;Acc:MGI:1347355]"	0.4422	yellow
ENSMUSG00000031214	Ophn1	OPHN1	protein_coding	protein_coding	oligophrenin_1_[Source:MGI_Symbol;Acc:MGI:2151070]	0.4688	orange
ENSMUSG00000029086	Prom1	PROM1	protein_coding	protein_coding	prominin_1_[Source:MGI_Symbol;Acc:MGI:1100886]	0.4648	red
ENSMUSG00000046330	Rpl37a	RPL37A	protein_coding	protein_coding	ribosomal_protein_L37a_[Source:MGI_Symbol;Acc:MGI:98068]	0.5124	blue
ENSMUSG00000031712	Il15	IL15	protein_coding	protein_coding	interleukin_15_[Source:MGI_Symbol;Acc:MGI:103014]	0.4692	blue
ENSMUSG00000059994	Fcrl1	FCRL1	protein_coding	protein_coding	Fc_receptor-like_1_[Source:MGI_Symbol;Acc:MGI:2442862]	0.4846	orange
ENSMUSG00000037563	Rps16	RPS16	protein_coding	protein_coding	ribosomal_protein_S16_[Source:MGI_Symbol;Acc:MGI:98118]	0.5276	orange
ENSMUSG00000036196	Slc26a8	SLC26A8	protein_coding	protein_coding	"solute_carrier_family_26,_member_8_[Source:MGI_Symbol;Acc:MGI:2385046]"	0.4964	yellow
ENSMUSG00000002204	Napsa	NAPSA	protein_coding	protein_coding	napsin_A_aspartic_peptidase_[Source:MGI_Symbol;Acc:MGI:109365]	0.538	yellow
ENSMUSG00000015314	Slamf6	SLAMF6	protein_coding	protein_coding	SLAM_family_member_6_[Source:MGI_Symbol;Acc:MGI:1353620]	0.4455	blue
ENSMUSG00000067215	Usp51	USP51	protein_coding	protein_coding	ubiquitin_specific_protease_51_[Source:MGI_Symbol;Acc:MGI:3588217]	0.4809	yellow
ENSMUSG00000079071	Gm14085	GM14085	protein_coding	protein_coding	predicted_gene_14085_[Source:MGI_Symbol;Acc:MGI:3702173]	0.4522	yellow
ENSMUSG00000035357	Pdzrn3	PDZRN3	protein_coding	protein_coding	PDZ_domain_containing_RING_finger_3_[Source:MGI_Symbol;Acc:MGI:1933157]	0.5155	green
ENSMUSG00000090000	Ier3ip1	IER3IP1	protein_coding	protein_coding	immediate_early_response_3_interacting_protein_1_[Source:MGI_Symbol;Acc:MGI:1913441]	0.4312	orange
ENSMUSG00000030271	Ogg1	OGG1	protein_coding	protein_coding	8-oxoguanine_DNA-glycosylase_1_[Source:MGI_Symbol;Acc:MGI:1097693]	0.5414	orange
ENSMUSG00000034602	Mon2	MON2	protein_coding	protein_coding	"MON2_homolog,_regulator_of_endosome_to_Golgi_trafficking_[Source:MGI_Symbol;Acc:MGI:1914324]"	0.473	orange
ENSMUSG00000022831	Hcls1	HCLS1	protein_coding	protein_coding	hematopoietic_cell_specific_Lyn_substrate_1_[Source:MGI_Symbol;Acc:MGI:104568]	0.5326	orange
ENSMUSG00000025127	Gcgr	GCGR	protein_coding	protein_coding	glucagon_receptor_[Source:MGI_Symbol;Acc:MGI:99572]	0.5809	yellow
ENSMUSG00000037139	Myom3	MYOM3	protein_coding	protein_coding	"myomesin_family,_member_3_[Source:MGI_Symbol;Acc:MGI:2685280]"	0.52	yellow
ENSMUSG00000043991	Pura	PURA	protein_coding	protein_coding	purine_rich_element_binding_protein_A_[Source:MGI_Symbol;Acc:MGI:103079]	0.5087	yellow
ENSMUSG00000079652	Fam71f2	FAM71F2	protein_coding	protein_coding	"family_with_sequence_similarity_71,_member_F2_[Source:MGI_Symbol;Acc:MGI:2141439]"	0.5269	yellow
ENSMUSG00000061576	Dpp6	DPP6	protein_coding	protein_coding	dipeptidylpeptidase_6_[Source:MGI_Symbol;Acc:MGI:94921]	0.5078	yellow
ENSMUSG00000031523	Dlc1	DLC1	protein_coding	protein_coding	deleted_in_liver_cancer_1_[Source:MGI_Symbol;Acc:MGI:1354949]	0.4918	green
ENSMUSG00000028233	Tgs1	TGS1	protein_coding	protein_coding	trimethylguanosine_synthase_1_[Source:MGI_Symbol;Acc:MGI:2151797]	0.4014	orange
ENSMUSG00000018819	Lsp1	LSP1	protein_coding	protein_coding	lymphocyte_specific_1_[Source:MGI_Symbol;Acc:MGI:96832]	0.549	orange
ENSMUSG00000020635	Fkbp1b	FKBP1B	protein_coding	protein_coding	FK506_binding_protein_1b_[Source:MGI_Symbol;Acc:MGI:1336205]	0.516	yellow
ENSMUSG00000026347	Tmem163	TMEM163	protein_coding	protein_coding	transmembrane_protein_163_[Source:MGI_Symbol;Acc:MGI:1919410]	0.54	yellow
ENSMUSG00000068299	Nat8f4	NAT8F4	protein_coding	protein_coding	N-acetyltransferase_8_(GCN5-related)_family_member_4_[Source:MGI_Symbol;Acc:MGI:1922791]	0.4914	cyan
ENSMUSG00000036834	Plch1	PLCH1	protein_coding	protein_coding	"phospholipase_C,_eta_1_[Source:MGI_Symbol;Acc:MGI:2683547]"	0.4628	green
ENSMUSG00000066677	Ifi208	IFI208	protein_coding	protein_coding	interferon_activated_gene_208_[Source:MGI_Symbol;Acc:MGI:2442822]	0.4376	yellow
ENSMUSG00000095677	Dynlt1f	DYNLT1F	protein_coding	protein_coding	dynein_light_chain_Tctex-type_1F_[Source:MGI_Symbol;Acc:MGI:3780996]	0.5019	orange
ENSMUSG00000066363	Serpina3f	SERPINA3F	protein_coding	protein_coding	"serine_(or_cysteine)_peptidase_inhibitor,_clade_A,_member_3F_[Source:MGI_Symbol;Acc:MGI:2182838]"	0.4905	green
ENSMUSG00000031028	Tub	TUB	protein_coding	protein_coding	tubby_bipartite_transcription_factor_[Source:MGI_Symbol;Acc:MGI:2651573]	0.5682	yellow
ENSMUSG00000030657	Xylt1	XYLT1	protein_coding	protein_coding	xylosyltransferase_1_[Source:MGI_Symbol;Acc:MGI:2451073]	0.5426	yellow
ENSMUSG00000034336	Ina	INA	protein_coding	protein_coding	"internexin_neuronal_intermediate_filament_protein,_alpha_[Source:MGI_Symbol;Acc:MGI:96568]"	0.5552	yellow
ENSMUSG00000025656	Arhgef9	ARHGEF9	protein_coding	protein_coding	CDC42_guanine_nucleotide_exchange_factor_(GEF)_9_[Source:MGI_Symbol;Acc:MGI:2442233]	0.4652	yellow
ENSMUSG00000029166	Mapre3	MAPRE3	protein_coding	protein_coding	"microtubule-associated_protein,_RP/EB_family,_member_3_[Source:MGI_Symbol;Acc:MGI:2140967]"	0.549	yellow
ENSMUSG00000040133	Gpr176	GPR176	protein_coding	protein_coding	G_protein-coupled_receptor_176_[Source:MGI_Symbol;Acc:MGI:2685858]	0.5112	green
ENSMUSG00000025353	Ormdl2	ORMDL2	protein_coding	protein_coding	ORM1-like_2_(S._cerevisiae)_[Source:MGI_Symbol;Acc:MGI:1914094]	0.4736	orange
ENSMUSG00000105601	Gm42725	GM42725	protein_coding	TEC	predicted_gene_42725_[Source:MGI_Symbol;Acc:MGI:5662862]	0.4233	blue
ENSMUSG00000040752	Myh6	MYH6	protein_coding	protein_coding	"myosin,_heavy_polypeptide_6,_cardiac_muscle,_alpha_[Source:MGI_Symbol;Acc:MGI:97255]"	0.5631	yellow
ENSMUSG00000041731	Pgm5	PGM5	protein_coding	protein_coding	phosphoglucomutase_5_[Source:MGI_Symbol;Acc:MGI:1925668]	0.5217	yellow
ENSMUSG00000052146	Rps10	RPS10	protein_coding	protein_coding	ribosomal_protein_S10_[Source:MGI_Symbol;Acc:MGI:1914347]	0.5675	orange
ENSMUSG00000026315	Serpinb8	SERPINB8	protein_coding	protein_coding	"serine_(or_cysteine)_peptidase_inhibitor,_clade_B,_member_8_[Source:MGI_Symbol;Acc:MGI:894657]"	0.4557	yellow
ENSMUSG00000074673	Ttll9	TTLL9	protein_coding	protein_coding	"tubulin_tyrosine_ligase-like_family,_member_9_[Source:MGI_Symbol;Acc:MGI:1913589]"	0.5377	yellow
ENSMUSG00000067288	Rps28	RPS28	protein_coding	protein_coding	ribosomal_protein_S28_[Source:MGI_Symbol;Acc:MGI:1859516]	0.5227	blue
ENSMUSG00000009378	Slc16a12	SLC16A12	protein_coding	protein_coding	"solute_carrier_family_16_(monocarboxylic_acid_transporters),_member_12_[Source:MGI_Symbol;Acc:MGI:2147716]"	0.4409	green
ENSMUSG00000033788	Dysf	DYSF	protein_coding	protein_coding	dysferlin_[Source:MGI_Symbol;Acc:MGI:1349385]	0.5542	cyan
ENSMUSG00000009585	Apobec3	APOBEC3	protein_coding	protein_coding	"apolipoprotein_B_mRNA_editing_enzyme,_catalytic_polypeptide_3_[Source:MGI_Symbol;Acc:MGI:1933111]"	0.4946	orange
ENSMUSG00000026277	Stk25	STK25	protein_coding	protein_coding	serine/threonine_kinase_25_(yeast)_[Source:MGI_Symbol;Acc:MGI:1891699]	0.5313	yellow
ENSMUSG00000051675	Trim32	TRIM32	protein_coding	protein_coding	tripartite_motif-containing_32_[Source:MGI_Symbol;Acc:MGI:1917057]	0.5519	green
ENSMUSG00000022099	Dmtn	DMTN	protein_coding	protein_coding	dematin_actin_binding_protein_[Source:MGI_Symbol;Acc:MGI:99670]	0.5638	green
ENSMUSG00000047330	Kcne4	KCNE4	protein_coding	protein_coding	"potassium_voltage-gated_channel,_Isk-related_subfamily,_gene_4_[Source:MGI_Symbol;Acc:MGI:1891125]"	0.477	green
ENSMUSG00000024338	Psmb8	PSMB8	protein_coding	protein_coding	"proteasome_(prosome,_macropain)_subunit,_beta_type_8_(large_multifunctional_peptidase_7)_[Source:MGI_Symbol;Acc:MGI:1346527]"	0.5535	orange
ENSMUSG00000025586	Cpeb1	CPEB1	protein_coding	protein_coding	cytoplasmic_polyadenylation_element_binding_protein_1_[Source:MGI_Symbol;Acc:MGI:108442]	0.4991	cyan
ENSMUSG00000063849	Ppcdc	PPCDC	protein_coding	protein_coding	phosphopantothenoylcysteine_decarboxylase_[Source:MGI_Symbol;Acc:MGI:1914062]	0.549	orange
ENSMUSG00000045036	Tmem232	TMEM232	protein_coding	protein_coding	transmembrane_protein_232_[Source:MGI_Symbol;Acc:MGI:2685786]	0.442	yellow
ENSMUSG00000020811	Wscd1	WSCD1	protein_coding	protein_coding	WSC_domain_containing_1_[Source:MGI_Symbol;Acc:MGI:2448493]	0.5797	green
ENSMUSG00000032380	Dapk2	DAPK2	protein_coding	protein_coding	death-associated_protein_kinase_2_[Source:MGI_Symbol;Acc:MGI:1341297]	0.5222	green
ENSMUSG00000031932	Gpr83	GPR83	protein_coding	protein_coding	G_protein-coupled_receptor_83_[Source:MGI_Symbol;Acc:MGI:95712]	0.4911	yellow
ENSMUSG00000025289	Prdx4	PRDX4	protein_coding	protein_coding	peroxiredoxin_4_[Source:MGI_Symbol;Acc:MGI:1859815]	0.4809	orange
ENSMUSG00000021948	Prkcd	PRKCD	protein_coding	protein_coding	"protein_kinase_C,_delta_[Source:MGI_Symbol;Acc:MGI:97598]"	0.531	orange
ENSMUSG00000020048	Hsp90b1	HSP90B1	protein_coding	protein_coding	"heat_shock_protein_90,_beta_(Grp94),_member_1_[Source:MGI_Symbol;Acc:MGI:98817]"	0.4275	orange
ENSMUSG00000047497	Adamts12	ADAMTS12	protein_coding	protein_coding	"a_disintegrin-like_and_metallopeptidase_(reprolysin_type)_with_thrombospondin_type_1_motif,_12_[Source:MGI_Symbol;Acc:MGI:2146046]"	0.4627	red
ENSMUSG00000026678	Rgs5	RGS5	protein_coding	protein_coding	regulator_of_G-protein_signaling_5_[Source:MGI_Symbol;Acc:MGI:1098434]	0.4326	green
